latitude,longitude,magnitude
43.697610000,-79.502370000,17286
43.709260000,-79.505550000,25085
43.715440000,-79.507150000,26241
43.720910000,-79.508610000,28996
43.739420000,-79.513190000,22149
43.757270000,-79.517760000,31117
43.775490000,-79.521680000,33610
43.686790000,-79.595520000,20332
43.642920000,-79.407670000,11450
43.642050000,-79.411940000,13533
43.638970000,-79.427360000,13926
43.637180000,-79.436020000,12167
43.674720000,-79.392870000,15594
43.652040000,-79.402270000,9481
43.658890000,-79.349820000,10844
43.660521200,-79.342476800,11325
43.661080000,-79.340070000,12361
43.662690000,-79.332790000,8225
43.663270000,-79.330210000,8546
43.668780000,-79.305800000,17305
43.670500000,-79.298000000,15374
43.670980000,-79.295740000,10618
43.672690000,-79.287560000,9048
43.648060000,-79.399660000,7737
43.646020000,-79.409930000,7820
43.644740000,-79.416280000,11185
43.644204000,-79.418862000,11628
43.643510000,-79.422400000,10043
43.699310906,-79.433394670,17549
43.638710000,-79.446190000,11428
43.639530000,-79.459480000,14367
43.637770000,-79.466450000,16297
43.637210000,-79.469830000,18547
43.630410000,-79.484220000,19213
43.629060000,-79.490310000,25901
43.626350000,-79.502580000,23495
43.625340000,-79.507220000,22298
43.623640000,-79.514780000,41090
43.620980000,-79.526730000,33000
43.804090000,-79.336300000,15009
43.617770000,-79.540850000,20873
43.636270000,-79.409610000,11246
43.668350000,-79.382030000,9670
43.644930000,-79.456260000,14077
43.648660000,-79.457780000,14984
43.658320000,-79.461500000,14910
43.663660000,-79.463750000,17195
43.683380000,-79.480290000,22850
43.684260000,-79.484010000,7904
43.688670000,-79.494170000,8253
43.696240000,-79.508170000,6704
43.700630000,-79.517770000,6855
43.701050000,-79.519440000,9568
43.703040000,-79.525360000,9201
43.706350000,-79.532290000,20337
43.711880000,-79.535450000,28448
43.714830000,-79.536650000,31921
43.716971225,-79.537486813,16101
43.733760000,-79.538240000,19786
43.752100000,-79.542420000,33275
43.684930000,-79.472780000,9466
43.694360000,-79.474790000,11967
43.699450000,-79.475950000,16893
43.702930000,-79.476730000,14349
43.714800000,-79.479420000,20077
43.721220000,-79.480900000,33776
43.724385000,-79.481597000,32531
43.726702000,-79.482042000,37314
43.730339300,-79.482902000,20253
43.733587000,-79.483670000,19865
43.744786600,-79.486324000,28633
43.763480600,-79.490976000,14038
43.781523000,-79.494495000,39154
43.688734700,-79.402311000,21501
43.715620000,-79.305035000,10868
43.652553800,-79.432536000,14803
43.655210500,-79.433568000,10922
43.665828600,-79.437886000,12163
43.668472100,-79.439014000,21475
43.682370800,-79.444848000,12149
43.685555800,-79.446104000,18229
43.688628000,-79.447385000,12682
43.700751700,-79.451768000,22169
43.707002100,-79.453212000,19806
43.720449000,-79.456104000,19721
43.721750700,-79.456413000,24404
43.726972600,-79.457655000,27257
43.732080700,-79.458897000,19454
43.768870300,-79.466898000,35560
43.787267200,-79.470123000,37360
43.709984100,-79.334385000,32000
43.716545700,-79.337275000,25442
43.719190900,-79.603470000,18772
43.727637400,-79.340813000,24273
43.740850000,-79.344418000,26186
43.732251000,-79.342103000,22907
43.755792700,-79.347046000,36703
43.775086500,-79.347030000,38172
43.787345600,-79.353004000,22979
43.779100200,-79.348727000,21140
43.734582800,-79.447200000,21511
43.751659200,-79.456729000,32661
43.755336500,-79.459920000,5324
43.752013800,-79.488128000,11576
43.761754600,-79.347221000,23590
43.701965600,-79.508309000,12971
43.622653100,-79.519097000,15888
43.738979200,-79.539462800,12974
43.741793800,-79.225156000,18274
43.754840000,-79.408840000,42568
43.651196300,-79.445285000,13636
43.710968100,-79.285930000,16009
43.697210000,-79.349140000,19015
43.736430700,-79.381904000,28651
43.748064100,-79.384143000,26296
43.754816300,-79.385527000,19359
43.761921200,-79.386856000,34224
43.764483000,-79.387379000,38081
43.766624400,-79.388044000,48835
43.774346700,-79.389797000,21680
43.784989100,-79.392235000,37045
43.792339200,-79.393624000,25686
43.803251400,-79.396314000,37327
43.788038800,-79.392735000,19775
43.693593000,-79.297270000,8060
43.702292300,-79.296947000,7243
43.694867100,-79.304747000,8472
43.688820000,-79.325838000,9053
43.686891200,-79.334692000,8093
43.685836000,-79.339519000,7811
43.692772600,-79.315855000,14660
43.690596600,-79.326553000,12385
43.688642600,-79.335443000,10268
43.687604900,-79.340228000,12339
43.685721000,-79.347638600,16061
43.696434100,-79.317420000,13743
43.694137900,-79.328003000,13156
43.692034700,-79.337723000,8030
43.691133800,-79.341670000,13087
43.689392200,-79.348810000,13186
43.741497300,-79.435020000,15664
43.747241600,-79.436456000,18000
43.755452700,-79.438452000,28885
43.762444200,-79.440171000,12940
43.768603900,-79.441657000,17483
43.773856700,-79.442978000,35888
43.781068700,-79.444810000,25127
43.785938000,-79.446008000,21721
43.792450000,-79.445714000,36119
43.707478000,-79.343608000,17874
43.705011000,-79.349824000,14180
43.710376000,-79.363498000,15150
43.703231000,-79.360591000,22733
43.704803000,-79.368108000,7982
43.703575100,-79.364372700,5206
43.702467000,-79.361576000,8873
43.701900000,-79.358090000,15467
43.701960000,-79.352880000,23732
43.737418400,-79.302269500,11729
43.703690000,-79.277480000,8457
43.721518400,-79.285010700,16573
43.772980000,-79.272970000,19487
43.769430000,-79.282260000,29981
43.759088900,-79.310219200,24438
43.761270000,-79.300720000,38566
43.763470000,-79.291370000,32431
43.765870000,-79.281090000,28790
43.767990000,-79.271110000,25211
43.770130000,-79.261280000,24054
43.772200000,-79.251490000,29600
43.774420000,-79.241710000,20222
43.793900000,-79.238760000,31662
43.776450000,-79.231740000,30563
43.773510000,-79.230660000,18729
43.757850000,-79.224690000,15767
43.634210000,-79.519100000,19564
43.651410000,-79.526390000,31272
43.662420000,-79.531160000,17332
43.668390000,-79.533830000,18172
43.679860000,-79.538980000,32669
43.683200000,-79.540500000,16055
43.688640000,-79.542860000,20731
43.708160000,-79.551760000,26521
43.711430000,-79.553280000,25740
43.713770000,-79.554910000,20171
43.716960000,-79.555970000,17107
43.723180000,-79.558880000,16084
43.737270000,-79.565310000,28222
43.713360000,-79.559720000,14706
43.785350000,-79.193370000,17062
43.703970000,-79.411670000,10687
43.677250000,-79.471870000,16442
43.811650000,-79.323390000,16977
43.725140000,-79.550510000,15959
43.625260000,-79.528450000,23183
43.631540000,-79.531020000,20231
43.651010000,-79.539330000,17805
43.659880000,-79.543230000,15208
43.670120000,-79.547730000,12983
43.677250000,-79.550900000,31302
43.685640000,-79.554680000,15510
43.704910000,-79.563470000,20664
43.711730000,-79.566700000,32041
43.728140000,-79.574650000,9940
43.739700000,-79.580330000,24839
43.608360000,-79.558630000,16464
43.740880000,-79.357450000,16088
43.746000000,-79.358500000,21689
43.758730000,-79.361280000,23421
43.752710000,-79.451900000,21079
43.758970000,-79.422540000,13952
43.764030000,-79.399680000,18332
43.767860000,-79.383140000,22684
43.769250000,-79.376630000,18538
43.771690000,-79.364160000,43601
43.773770000,-79.353330000,18536
43.776280000,-79.341120000,31362
43.775890000,-79.337750000,37615
43.775270000,-79.323010000,27789
43.776530000,-79.317750000,23952
43.778750000,-79.307890000,27706
43.781090000,-79.298100000,27624
43.783300000,-79.288240000,34649
43.767260000,-79.363650000,36440
43.763840000,-79.361920000,39785
43.752970000,-79.359950000,34929
43.758930000,-79.334030000,20345
43.760700000,-79.327757000,15574
43.769472089,-79.320535548,27582
43.766940000,-79.319180000,35267
43.771566534,-79.304899276,31051
43.769030000,-79.303660000,31679
43.606042400,-79.547140800,19000
43.601690000,-79.545230000,15384
43.607220000,-79.520740000,16598
43.615890000,-79.524610000,27591
43.596430000,-79.524970000,10258
43.600710000,-79.518000000,9660
43.710580000,-79.379650000,16650
43.678450000,-79.440840000,7611
43.604850000,-79.498970000,3813
43.608160000,-79.500340000,3348
43.698700000,-79.436430000,26562
43.612260000,-79.496720000,6453
43.616966678,-79.518828392,13910
43.618400000,-79.511330000,16371
43.660700000,-79.510400000,19911
43.648800000,-79.528730000,20467
43.632150000,-79.544770000,26144
43.636130000,-79.540110000,24546
43.696180000,-79.532710000,13369
43.682320000,-79.526560000,27112
43.676860000,-79.505950000,10743
43.680810000,-79.508810000,12700
43.683930000,-79.511350000,27560
43.648810000,-79.548970000,15923
43.674510000,-79.563210000,30870
43.683340000,-79.567120000,10236
43.692920000,-79.571520000,13000
43.701980000,-79.575600000,11866
43.713880000,-79.581060000,21340
43.741980000,-79.594240000,24263
43.636950000,-79.556700000,29287
43.635640000,-79.562300000,22993
43.692260000,-79.567710000,21135
43.720370000,-79.537460000,19649
43.689020000,-79.460540000,7984
43.698460000,-79.463510000,17695
43.697030000,-79.467950000,9947
43.687150000,-79.438680000,13218
43.683110000,-79.458010000,16541
43.682790000,-79.463310000,9706
43.689930000,-79.435750000,6617
43.692660000,-79.440820000,12014
43.709000000,-79.443780000,13277
43.702270000,-79.441080000,13325
43.788670000,-79.409930000,16804
43.781650000,-79.407090000,24035
43.761080000,-79.499970000,19759
43.754930000,-79.528610000,35518
43.753310000,-79.536250000,34065
43.749990000,-79.552270000,23803
43.776510000,-79.430230000,17028
43.717740000,-79.523030000,14275
43.736620000,-79.437850000,15426
43.723410000,-79.496800000,14784
43.653900000,-79.358500000,15431
43.656650000,-79.348860000,13578
43.657870000,-79.341377000,10832
43.658420000,-79.338940000,13597
43.648190000,-79.354750000,10659
43.643940000,-79.368970000,7542
43.723050000,-79.339560000,25791
43.695230000,-79.487610000,8060
43.676480000,-79.308940000,10426
43.659210000,-79.393450000,11346
43.657430000,-79.403180000,10055
43.658700000,-79.395980000,13259
43.655000000,-79.415610000,7478
43.654430000,-79.422680000,13223
43.653640000,-79.426380000,11340
43.651000000,-79.440020000,11489
43.646360000,-79.449030000,6002
43.651520000,-79.451040000,8973
43.662270000,-79.405970000,8846
43.659960000,-79.417470000,9549
43.658540000,-79.424310000,11364
43.662100000,-79.397600000,5840
43.664110000,-79.398410000,10431
43.664700000,-79.395720000,6686
43.674880000,-79.407110000,20652
43.671650000,-79.421560000,15016
43.670110000,-79.429040000,15570
43.669730000,-79.432730000,15077
43.666750000,-79.446420000,18677
43.665760000,-79.451260000,13417
43.662880000,-79.469240000,10236
43.660060000,-79.479970000,12443
43.663820000,-79.481340000,7148
43.667171800,-79.431698200,7058
43.667960000,-79.428130000,8371
43.662356100,-79.444427100,10502
43.688690000,-79.412650000,8695
43.699010000,-79.417040000,9339
43.711490000,-79.401250000,7313
43.718891000,-79.403949000,6313
43.790260000,-79.418130000,24599
43.728210000,-79.477750000,17962
43.764070000,-79.205630000,15279
43.743240000,-79.245030000,13257
43.687300000,-79.398000000,11639
43.735740000,-79.529340000,10062
43.785370000,-79.278550000,24715
43.782140000,-79.293460000,14419
43.771940000,-79.321550000,31063
43.611250000,-79.546720000,14078
43.610558438,-79.549338547,13799
43.663010000,-79.383760000,8449
43.790050000,-79.368120000,29661
43.792680000,-79.354720000,32467
43.755970000,-79.524280000,36041
43.785500000,-79.310940000,20990
43.799150000,-79.395160000,16921
